design_parameter_id,design_parameter_name,component_id,component_name
Dp1,Length,Cp1,Main_hull
Dp2,Width,Cp1,Main_hull
Dp3,Stiffness,Cp1,Main_hull
Dp4,Length,Cp2,Side_hull
Dp5,Width,Cp2,Side_hull
Dp6,Stiffness,Cp2,Side_hull
Dp7,Length,Cp3,Main_wing
Dp8,Width,Cp3,Main_wing
Dp9,Stiffness,Cp3,Main_wing
Dp10,Length,Cp4,Front_wing
Dp11,Width,Cp4,Front_wing
Dp12,Stiffness,Cp4,Front_wing
Dp13,Sensitivity,Cp5,Height_sensor
Dp14,Length,Cp6,Solar_panel
Dp15,Width,Cp6,Solar_panel
Dp16,Output,Cp7,Battery
Dp17,Capacity,Cp7,Battery
Dp18,Torque,Cp8,Motor
Dp19,Rotation,Cp8,Motor
Dp20,Size,Cp9,Screw
Dp21,Number,Cp9,Screw
Dp22,Length,Cp10,Rudder
Dp23,Depth,Cp10,Rudder
