functional_metric_id,Dp1,Dp2,Dp3,Dp4,Dp5,Dp6,Dp7,Dp8,Dp9,Dp10,Dp11,Dp12,Dp13,Dp14,Dp15,Dp16,Dp17,Dp18,Dp19,Dp20,Dp21,Dp22,Dp23
Fm1,↓,↓,↑,↓,↓,↑,↓,↓,↑,↓,↓,↑,-,-,-,↑,↓,↑,↑,↑,↑,↓,↓
Fm2,↓,↓,↑,↓,↓,↑,↓,↓,↑,↓,↓,↑,-,-,-,↑,↓,↑,↑,↑,↑,↓,↓
Fm3,-,↑,↓,↓,↓,-,↑,↑,↑,↑,↑,↑,↑,↓,↓,-,-,↑,-,-,-,↑,↑
Fm4,-,↑,↓,↑,↑,-,↑,↑,↑,↑,↑,↑,↑,↓,↓,-,-,↑↓,-,-,-,↑,↑
Fm5,↑,↑,↑,-,-,-,-,↑,↓,-,↑,↓,-,-,-,-,-,↑,-,-,-,↓,↓
Fm6,↑,↑,↑,↑,↑,↑,-,↑,↓,-,↑,↓,-,-,-,-,-,↑↓,-,-,-,↓,↓
Fm7,↓,↓,-,↓,↓,-,↓,↓,-,↓,↓,-,-,↑,↑,↓,↑,↓,↓,↓,↓,↓,↓
Fm8,↓,↓,-,↓,↓,-,↓,↓,-,↓,↓,-,-,↑,↑,↓,↑,↑↓,↑↓,↑↓,↑↓,↓,↓
Fm9,↓,↓,-,↓,↓,-,↓,↓,-,↓,↓,-,-,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓
Fm10,↓,↓,-,↓,↓,-,↓,↓,-,↓,↓,-,-,↓,↓,↓,↑,↑↓,↑↓,↑↓,↑↓,↓,↓
Fm11,↓,-,-,↓,-,-,?,?,↑,?,?,↑,-,-,-,-,-,-,-,-,-,↑,↑
Fm12,↓,-,-,-,-,-,?,?,↑,?,?,↑,-,-,-,-,-,-,-,-,-,↑,↑


